"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
3.63317,1.33556,0.66423,0.42813,0.65907,1.08832,1.37144,1.14119,0.70364,0.51943,0.55219,0.49171,0.33265,0.25757,0.16929,0.0866
1.89262,9.31803,1.61989,0.47397,0.36668,0.92881,1.30348,1.32885,1.15549,0.63464,0.50618,0.40095,0.35561,0.23533,0.12103,0.08543
0.46694,2.81371,11.91817,1.16609,0.49958,0.58036,0.79226,1.1506,1.2904,0.84016,0.54414,0.33557,0.21431,0.18354,0.13588,0.11418
0.335,0.66163,3.93734,11.65349,1.76263,0.94486,0.74496,1.07974,1.20951,1.1776,0.63443,0.33592,0.19032,0.13055,0.07467,0.05045
0.53854,0.38473,0.45275,2.97219,4.70786,2.10119,1.32557,1.09305,0.97814,1.17976,0.79005,0.48779,0.20998,0.11219,0.11754,0.09538
0.88864,0.42759,0.21764,0.69648,1.96599,2.96817,1.80437,1.33891,1.08026,0.94366,0.90788,0.50206,0.24702,0.11185,0.05864,0.03574
0.89778,1.03273,0.74494,0.36166,0.95121,1.65836,2.27562,1.6852,1.24156,0.96541,0.81317,0.61605,0.33712,0.16289,0.08558,0.07557
0.91183,1.30425,1.09987,0.64995,0.64532,1.20561,1.56507,2.21587,1.70586,1.10148,0.79935,0.50775,0.40419,0.24682,0.14877,0.05954
0.63178,1.01352,1.16133,0.91587,0.80472,1.00594,1.35579,1.54584,1.95682,1.32312,0.91181,0.3756,0.31978,0.1913,0.13124,0.06185
0.39612,0.65768,0.75272,1.04328,0.79941,0.82075,0.95891,1.12797,1.19572,1.37067,0.91551,0.43845,0.23512,0.12624,0.10983,0.09686
0.55687,0.5833,0.77217,0.89009,0.90731,1.11154,0.97921,0.92492,1.20687,1.31648,1.17607,0.74219,0.33875,0.1413,0.10289,0.08547
0.91851,0.91097,0.58355,0.72755,0.71796,1.10042,1.15701,0.86892,0.91746,0.81107,1.0156,0.95961,0.54489,0.24274,0.12003,0.08276
0.98917,0.90639,0.55371,0.54846,0.52786,0.78078,0.90179,0.93914,0.77263,0.63743,0.63755,0.74414,0.67501,0.39378,0.23689,0.09583
0.6777,0.94602,0.72981,0.37894,0.38614,0.51336,0.74038,0.70918,0.65093,0.37236,0.4306,0.46854,0.47364,0.49075,0.24114,0.11231
0.3195,0.84239,0.63701,0.52387,0.165,0.33269,0.31686,0.55153,0.57104,0.42479,0.33528,0.26396,0.46756,0.41617,0.43892,0.19836
0.24056,0.30933,0.41616,0.31587,0.11749,0.11432,0.19222,0.27639,0.26969,0.27515,0.26694,0.16566,0.12922,0.18934,0.16943,0.12273
